"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"370","Colon excluding rectum",316.8,26.5,25.2,27.9,146.8,28.1,26.1,30.3,170,25.3,23.5,27.2,123,9.8,9,10.7,62.8,12,10.6,13.4,60.2,8.2,7.2,9.2,"Erie"
"371","Rectum & rectosigmoid",142.2,12.2,11.2,13.1,80.4,15.4,13.8,17,61.8,9.5,8.4,10.7,37,3,2.6,3.5,20.8,3.9,3.2,4.8,16.2,2.3,1.8,2.9,"Erie"
"372","Liver / intrahepatic bile duct",107.8,8.4,7.7,9.2,81.4,14.1,12.7,15.6,26.4,3.8,3.1,4.5,74.8,5.8,5.2,6.5,54,9.5,8.3,10.7,20.8,3,2.4,3.6,"Erie"
"373","Pancreas",188,15.3,14.3,16.3,93,17.4,15.8,19.1,95,13.7,12.4,15,144.4,11.5,10.7,12.4,70.8,13.2,11.9,14.7,73.6,10.2,9.2,11.4,"Erie"
"374","Larynx",44,3.6,3.2,4.2,32.6,5.9,5,6.9,11.4,1.9,1.4,2.5,14,1.1,0.9,1.4,10.2,1.8,1.4,2.4,3.8,0.6,0.3,0.9,"Erie"
"375","Lung and bronchus",886.4,71.2,69.1,73.4,417.8,77.7,74.3,81.2,468.6,67.3,64.5,70.1,542.4,43.4,41.7,45.1,269.8,50.7,47.9,53.5,272.6,38.2,36.1,40.4,"Erie"
"376","Melanoma of the skin",335.8,29,27.6,30.5,197.4,37.3,34.9,39.8,138.4,23.2,21.4,25.1,25.8,2.1,1.7,2.5,14.4,2.8,2.2,3.6,11.4,1.6,1.2,2.1,"Erie"
"377","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,913,147.8,143.3,152.4,NA,NA,NA,NA,NA,NA,NA,NA,159.4,23,21.3,24.7,"Erie"
"378","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,35.8,7.3,6.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,11.2,1.9,1.4,2.5,"Erie"
"379","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,216.8,32.9,30.9,35,NA,NA,NA,NA,NA,NA,NA,NA,37.2,5.3,4.5,6.1,"Erie"
"380","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,75.6,12.1,10.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,53.6,7.9,7,9,"Erie"
"381","Prostate",NA,NA,NA,NA,825.2,142.1,137.7,146.6,NA,NA,NA,NA,NA,NA,NA,NA,94.8,18.8,17.1,20.6,NA,NA,NA,NA,"Erie"
"382","Testis",NA,NA,NA,NA,31.8,7.4,6.3,8.7,NA,NA,NA,NA,NA,NA,NA,NA,1,0.2,0.1,0.5,NA,NA,NA,NA,"Erie"
"383","Urinary bladder (incl. in situ)",353,28.5,27.1,29.9,247.2,46.7,44.1,49.5,105.8,15,13.7,16.4,65.8,5.1,4.5,5.7,43,8.3,7.2,9.6,22.8,2.9,2.4,3.5,"Erie"
"384","Kidney and renal pelvis",220.2,18.6,17.5,19.7,141,26.3,24.3,28.4,79.2,12.2,10.9,13.5,41.6,3.3,2.8,3.8,25.8,4.8,4,5.7,15.8,2.2,1.7,2.7,"Erie"
"385","Brain and other central nervous system",75,7.3,6.6,8.1,43.2,8.8,7.6,10.1,31.8,6,5.1,7.1,48.4,4.2,3.7,4.8,27.6,5.2,4.4,6.2,20.8,3.2,2.6,4,"Erie"
"386","Thyroid",172,17.7,16.5,19,42.8,8.8,7.6,10.1,129.2,26.3,24.2,28.5,4.4,0.3,0.2,0.5,1.6,0.3,0.1,0.7,2.8,0.3,0.2,0.6,"Erie"
"387","Hodgkin lymphoma",29.4,3.1,2.6,3.7,15.4,3.4,2.7,4.3,14,2.8,2.2,3.6,2.2,0.2,0.1,0.4,1.2,0.2,0.1,0.5,1,0.2,0,0.4,"Erie"
"388","Non-Hodgkin lymphomas",274.6,23.4,22.1,24.7,145.6,28,25.9,30.2,129,20,18.4,21.7,74,5.9,5.3,6.6,47.8,9.4,8.2,10.6,26.2,3.6,3,4.3,"Erie"
"389","Myeloma",91,7.6,6.9,8.3,47.6,9.2,8.1,10.5,43.4,6.4,5.6,7.4,44,3.5,3,4,23.6,4.6,3.8,5.5,20.4,2.8,2.3,3.5,"Erie"
"390","Leukemias",197.6,16.9,15.9,18.1,121.8,23.6,21.7,25.6,75.8,11.7,10.5,13.1,86,7,6.3,7.7,51,10,8.8,11.4,35,4.7,4,5.5,"Erie"
"391","All Invasive Malignant Tumors",267.8,445.6,420.8,471.7,141.2,482,445.7,520.8,126.6,424.8,389.7,462.6,96.4,154.2,140.3,169.4,53.8,190.5,168,215.7,42.6,129.3,111.4,149.8,"Essex"
"392","Oral cavity and pharynx",6.4,9.9,6.7,14.5,4.4,14.1,8.7,22.3,2,5.5,2.6,11.6,0.8,1.4,0.4,4.2,0.8,2.9,0.8,8.5,0,0,0,4.7,"Essex"
"393","Esophagus",4.4,7.1,4.4,11.1,3.2,10.1,5.7,17.3,1.2,4,1.5,10,3.8,6.1,3.6,10,2.8,9.9,5.4,17.4,1,2.5,0.8,7.7,"Essex"
"394","Stomach",3.4,5.4,3.1,9.1,2.4,8,4.1,14.9,1,2.9,0.9,8.4,0.2,0.3,0,2.6,0,0,0,4.3,0.2,0.6,0,5.5,"Essex"
"395","Colorectal",22.6,39.2,31.9,47.8,11.4,43.2,32.3,57,11.2,36.8,27.1,49.3,9.2,15.8,11.4,21.6,5.4,20.5,13.4,30.6,3.8,12.4,6.9,21,"Essex"
"396","Colon excluding rectum",16.2,27.6,21.6,35,6.6,24.7,16.7,35.7,9.6,32.2,23.1,44.3,7.6,13,9,18.4,4,15.5,9.4,24.7,3.6,11.9,6.6,20.6,"Essex"
"397","Rectum & rectosigmoid",6.4,11.6,7.7,17,4.8,18.5,11.6,28.4,1.6,4.6,1.9,10.6,1.6,2.8,1.1,6,1.4,5,1.9,11.3,0.2,0.4,0,5.2,"Essex"
"398","Liver / intrahepatic bile duct",5.4,8.4,5.4,12.8,3.4,11,6.3,18.6,2,6.7,2.9,14.1,3.4,5.5,3.1,9.5,2.4,7.6,3.9,14.2,1,4,1.1,11,"Essex"
"399","Pancreas",7.2,12.1,8.3,17.4,4.2,14.6,8.8,23.4,3,9.8,5.4,17.4,6.2,10.5,7,15.4,3.4,12.3,6.9,20.7,2.8,8.6,4.7,15.7,"Essex"
"400","Larynx",2.2,4.4,2.1,8.4,1.6,6.8,2.8,14.3,0.6,1.9,0.4,7.3,0.8,1.6,0.4,4.9,0.6,2.4,0.4,8.3,0.2,0.7,0,5.7,"Essex"
"401","Lung and bronchus",43,66.9,58,77,20.8,68.9,56,84.5,22.2,67.1,54.8,81.9,25.8,40.4,33.6,48.4,13.2,46.3,35.6,59.6,12.6,37.5,28.7,49.1,"Essex"
"402","Melanoma of the skin",12.6,21.5,16.2,28.2,8.6,31,22.1,42.8,4,14.2,8.3,23.4,2,3.1,1.5,6.3,1.8,6.9,3.1,13.7,0.2,0.5,0,5.3,"Essex"
"403","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,34,115.3,97.4,136,NA,NA,NA,NA,NA,NA,NA,NA,4.8,14.3,9,22.6,"Essex"
"404","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.8,10.3,4.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,5.3,"Essex"
"405","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,8.4,26.2,18.6,36.6,NA,NA,NA,NA,NA,NA,NA,NA,1.6,4.2,1.8,9.9,"Essex"
"406","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.4,8.9,4.2,17,NA,NA,NA,NA,NA,NA,NA,NA,1.4,6.4,2.2,14.4,"Essex"
"407","Prostate",NA,NA,NA,NA,27,80.7,67.4,96.4,NA,NA,NA,NA,NA,NA,NA,NA,4.6,17.4,11,26.7,NA,NA,NA,NA,"Essex"
"408","Testis",NA,NA,NA,NA,1,5.7,1.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.3,NA,NA,NA,NA,"Essex"
"409","Urinary bladder (incl. in situ)",17,27.3,21.6,34.4,14.6,51,39.7,65.1,2.4,6.2,3.2,12.4,2.8,4.3,2.3,7.8,1.8,6.8,3,13.7,1,2.2,0.7,7.3,"Essex"
"410","Kidney and renal pelvis",9.4,14.8,10.7,20.3,5.6,17.8,11.7,26.6,3.8,11.6,6.6,19.8,2.6,3.8,2,7.1,2,6.2,2.9,12.5,0.6,1.7,0.3,6.8,"Essex"
"411","Brain and other central nervous system",3.4,5.9,3.2,10.1,2,7.6,3.3,15.2,1.4,4,1.6,9.8,3.8,6.1,3.6,10.1,2.2,7.9,3.8,15,1.6,4.4,1.9,10.2,"Essex"
"412","Thyroid",5.6,13.5,8.7,20.1,1.2,5.8,1.9,13.5,4.4,22.2,13.4,34.9,0.2,0.3,0,2.6,0,0,0,4.3,0.2,0.6,0,5.5,"Essex"
"413","Hodgkin lymphoma",1.4,4.6,1.8,9.4,0.8,4.4,1.1,11.6,0.6,4.7,1,13.1,0.2,0.3,0,2.6,0.2,0.6,0,5.1,0,0,0,4.7,"Essex"
"414","Non-Hodgkin lymphomas",11.6,18.2,13.7,24.1,6.4,21.1,14.3,30.8,5.2,16.3,10.3,25.3,3,4.4,2.4,7.8,1.8,5.9,2.7,12.2,1.2,3.2,1.2,8.7,"Essex"
"415","Myeloma",3,4.9,2.7,8.7,1.8,6.2,2.8,12.7,1.2,4.2,1.4,10.6,2,3.2,1.5,6.6,0.6,2.1,0.4,7.3,1.4,4.4,1.6,10.6,"Essex"
"416","Leukemias",8.8,14.5,10.4,20.1,5.4,19.2,12.5,28.9,3.4,10.3,5.7,18.2,3.6,5.7,3.2,9.6,1.6,5.2,2.2,11.3,2,6.4,2.7,13.6,"Essex"
"417","All Invasive Malignant Tumors",313.6,495,470.2,520.8,177.4,562.6,525.1,602.2,136.2,442.2,408.1,478.6,98.6,156.2,142.5,170.9,48.6,170.1,148.8,193.5,50,147.3,129.3,167.4,"Franklin"
"418","Oral cavity and pharynx",5.6,8.6,5.6,12.6,4,11.9,7.2,18.9,1.6,5.2,2.2,10.8,0.6,1,0.2,3,0.4,1.3,0.1,5.2,0.2,0.5,0,4.1,"Franklin"
"419","Esophagus",4.8,7.3,4.6,11.1,4.6,13.8,8.7,21.2,0.2,0.5,0,4.1,3,4.7,2.6,8,2.6,8.5,4.5,14.9,0.4,1.1,0.1,5,"Franklin"
"420","Stomach",3,4.5,2.5,7.6,1.6,4.8,2,9.9,1.4,4.1,1.6,9.1,0.6,1,0.2,3.2,0.2,0.6,0,4,0.4,1.2,0.2,5.3,"Franklin"
"421","Colorectal",28.2,45.5,38.1,54,13.8,44.2,34.1,56.4,14.4,46.2,35.8,59.1,10.2,16.6,12.3,21.9,4,13.4,8,21,6.2,18.6,12.6,26.9,"Franklin"
"422","Colon excluding rectum",22.8,36.4,29.9,44,10.6,33.9,25.1,44.8,12.2,38,28.8,49.5,7.6,12.3,8.6,17,2.4,7.8,3.9,14,5.2,15.7,10.2,23.5,"Franklin"
"423","Rectum & rectosigmoid",5.4,9.1,5.9,13.6,3.2,10.3,5.8,17.1,2.2,8.2,3.8,15.5,2.6,4.3,2.3,7.5,1.6,5.6,2.3,11.2,1,2.9,0.9,7.5,"Franklin"
"424","Liver / intrahepatic bile duct",4,6.4,3.8,10.1,2.4,7.8,3.9,14,1.6,4.9,2.1,10.3,3,4.5,2.5,7.6,2.2,6.6,3.2,12.2,0.8,2.3,0.6,6.6,"Franklin"
"425","Pancreas",9.4,14.4,10.5,19.3,4.6,16,10,24.3,4.8,14,8.9,21.5,7,10.6,7.3,14.9,3.4,11.6,6.6,18.9,3.6,10,5.9,16.5,"Franklin"
"426","Larynx",3.4,4.8,2.7,7.9,2.6,7.2,3.8,12.8,0.8,2.2,0.6,6.5,1.4,2.1,0.8,4.6,1.2,3.7,1.3,8.5,0.2,0.5,0,4.1,"Franklin"
"427","Lung and bronchus",52.8,82.3,72.5,93.2,27.6,88.2,73.7,104.8,25.2,78.6,65.1,94.4,30,47.1,39.7,55.5,14.6,49.8,38.7,63.1,15.4,47,36.9,59.4,"Franklin"
"428","Melanoma of the skin",10.8,17.1,12.7,22.5,5.4,16.9,11,25,5.4,18.5,11.9,27.6,0.6,0.9,0.2,3,0.4,1.7,0.2,6,0.2,0.5,0,4,"Franklin"
"429","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,32.4,106.2,89.7,125.1,NA,NA,NA,NA,NA,NA,NA,NA,5.2,15.6,10.1,23.4,"Franklin"
"430","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,5.5,2.3,11.3,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.3,0.1,5.3,"Franklin"
"431","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,9.8,31,22.6,41.8,NA,NA,NA,NA,NA,NA,NA,NA,1.4,4.1,1.6,9.1,"Franklin"
"432","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.2,7.6,3.5,14.4,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.9,1.5,8.7,"Franklin"
"433","Prostate",NA,NA,NA,NA,50.8,150.6,132.2,171,NA,NA,NA,NA,NA,NA,NA,NA,3.8,14.8,8.8,23.2,NA,NA,NA,NA,"Franklin"
"434","Testis",NA,NA,NA,NA,1.4,4.3,1.7,9.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.7,0,4,NA,NA,NA,NA,"Franklin"
"435","Urinary bladder (incl. in situ)",17,27.7,22,34.4,13,45.6,34.9,58.5,4,12.1,7.2,19.4,3.8,6,3.6,9.6,2.2,8.3,4.1,15.1,1.6,4.2,1.8,9.1,"Franklin"
"436","Kidney and renal pelvis",10.6,16.5,12.2,21.8,6.8,19.8,13.6,28.2,3.8,12.3,7.2,20,2.2,3.6,1.8,6.7,1.4,5.1,2,10.7,0.8,2.2,0.6,6.5,"Franklin"
"437","Brain and other central nervous system",3.8,7,4.1,11.1,1.8,6.3,2.8,12.3,2,7.4,3.4,14.2,2.8,4.6,2.5,8,1,3.5,1.1,8.4,1.8,5.8,2.6,11.6,"Franklin"
"438","Thyroid",5,9.1,5.8,13.6,2.2,6.6,3.2,12.3,2.8,12.6,6.7,21.4,0.2,0.2,0,1.9,0.2,0.5,0,3.6,0,0,0,3.4,"Franklin"
"439","Hodgkin lymphoma",1.6,3.4,1.4,6.7,1,3.6,1.1,8.7,0.6,3.3,0.7,9.2,0.4,0.6,0.1,2.4,0.4,1.1,0.1,4.6,0,0,0,3.4,"Franklin"
"440","Non-Hodgkin lymphomas",12.4,20.4,15.6,26.4,8,28.1,19.8,38.6,4.4,14.3,8.8,22.3,2.6,4.6,2.4,7.9,1.8,7,3.2,13.4,0.8,2.5,0.7,7,"Franklin"
"441","Myeloma",4.6,7.3,4.6,11.2,2.6,9,4.7,15.7,2,6,2.9,11.7,2.6,4,2.1,7,1.2,4,1.4,9,1.4,4.1,1.6,9.1,"Franklin"
"442","Leukemias",11,18.8,14,24.6,7.8,28.2,19.9,38.9,3.2,10.9,6.1,18.2,3,5.1,2.8,8.5,2,8.6,4.1,15.6,1,2.5,0.8,6.8,"Franklin"
"443","All Invasive Malignant Tumors",402,541.8,517.5,567.1,204.2,585.3,548.8,623.7,197.8,514,480.8,549.1,123.6,159.2,146.5,172.7,65.8,188.7,168.4,211.1,57.8,136.8,120.9,154.6,"Fulton"
"444","Oral cavity and pharynx",9.2,11.8,8.6,16,6.6,17.2,11.8,24.7,2.6,6.9,3.6,12.4,2,2.6,1.2,5,1.6,4.2,1.8,8.8,0.4,1.4,0.2,5.2,"Fulton"
"445","Esophagus",7.6,10.3,7.1,14.4,6.6,18.5,12.5,26.6,1,2.8,0.8,7.3,6.2,8.3,5.6,12,5.6,15.6,10.2,23,0.6,2,0.4,6.4,"Fulton"
"446","Stomach",4.2,5.4,3.3,8.5,3.2,9.1,5.1,15.2,1,2.4,0.8,6.3,0.6,0.8,0.2,2.6,0.4,1,0.1,4.3,0.2,0.6,0,3.9,"Fulton"
"447","Colorectal",31.2,42,35.4,49.5,14.2,42.2,32.7,53.9,17,42.4,33.5,53.1,9.8,13.4,9.7,18,4,11.3,6.8,17.9,5.8,15.2,9.9,22.6,"Fulton"
"448","Colon excluding rectum",22.2,30.5,24.9,37.1,9.4,29.7,21.6,40,12.8,31.9,24.3,41.5,7.6,10.5,7.3,14.7,2.6,7.7,4,13.7,5,12.9,8,19.8,"Fulton"
"449","Rectum & rectosigmoid",9,11.4,8.3,15.6,4.8,12.5,7.8,19.2,4.2,10.5,6.4,16.5,2.2,2.9,1.4,5.4,1.4,3.5,1.4,7.9,0.8,2.3,0.6,6.5,"Fulton"
"450","Liver / intrahepatic bile duct",4.6,5.8,3.6,9,2.8,7.6,4,13.3,1.8,4.1,1.7,8.7,2.6,3.2,1.7,5.7,1,3,1,7.4,1.6,3.2,1.4,7.2,"Fulton"
"451","Pancreas",13.6,17.6,13.6,22.6,7.4,19.3,13.5,27.2,6.2,16.1,10.7,23.4,11,14,10.5,18.5,6,16.4,10.9,23.9,5,12.1,7.8,18.4,"Fulton"
"452","Larynx",2.6,3.5,1.8,6.2,2.4,6.9,3.5,12.4,0.2,0.5,0,3.6,0.8,1,0.3,2.8,0.6,1.4,0.3,5,0.2,0.5,0,3.6,"Fulton"
"453","Lung and bronchus",65.4,84.6,75.5,94.7,32.8,90.5,76.8,106.1,32.6,80.8,68.5,94.9,36.4,46.8,40.2,54.4,19.2,54.6,43.9,67.2,17.2,41.3,32.8,51.6,"Fulton"
"454","Melanoma of the skin",15.6,23.5,18.4,29.8,9.6,29.6,21.7,39.7,6,20.2,13.2,29.5,1,1.2,0.4,3.2,0.8,2.5,0.7,6.8,0.2,0.3,0,3.3,"Fulton"
"455","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,48.8,126.3,110.2,144.4,NA,NA,NA,NA,NA,NA,NA,NA,6,13.9,9.2,20.5,"Fulton"
"456","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,7.9,4.1,14,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,0.5,5.8,"Fulton"
"457","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,13.6,34.7,26.7,44.6,NA,NA,NA,NA,NA,NA,NA,NA,1.2,3.4,1.2,7.9,"Fulton"
"458","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5,12.6,8,19.3,NA,NA,NA,NA,NA,NA,NA,NA,2,4.1,1.9,8.4,"Fulton"
"459","Prostate",NA,NA,NA,NA,45.2,118.9,103.6,136.2,NA,NA,NA,NA,NA,NA,NA,NA,4.2,13.4,8.3,20.8,NA,NA,NA,NA,"Fulton"
"460","Testis",NA,NA,NA,NA,1.8,7.6,3.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,3.6,NA,NA,NA,NA,"Fulton"
"461","Urinary bladder (incl. in situ)",27,35.6,29.7,42.4,19.6,58.9,47.6,72.3,7.4,17.7,12.3,25,3.4,4.1,2.3,6.8,3,9,5,15.2,0.4,0.9,0.1,4.2,"Fulton"
"462","Kidney and renal pelvis",14.2,20.1,15.5,25.6,8.6,25.8,18.4,35.3,5.6,14.6,9.5,21.7,2.6,3.4,1.7,6.1,1.4,4.1,1.6,9.1,1.2,2.7,1,6.5,"Fulton"
"463","Brain and other central nervous system",5,7.4,4.7,11.3,2.6,8.4,4.3,14.9,2.4,6.2,3.1,11.5,1.8,2,0.9,4.1,1,2.1,0.7,5.7,0.8,1.9,0.5,5.6,"Fulton"
"464","Thyroid",7.8,13.4,9.3,18.7,2,6.4,2.9,12.3,5.8,20.6,13.4,30.2,0,0,0,1.4,0,0,0,2.9,0,0,0,2.9,"Fulton"
"465","Hodgkin lymphoma",2,3.5,1.6,6.6,0.8,2.5,0.6,6.9,1.2,4.5,1.6,10.1,0.2,0.3,0,1.9,0,0,0,2.9,0.2,0.5,0,3.7,"Fulton"
"466","Non-Hodgkin lymphomas",14.6,20.3,15.8,25.9,7.2,21.9,15.1,30.9,7.4,18,12.5,25.4,3.6,5.1,2.9,8.3,2.4,7.9,3.9,14.1,1.2,2.6,0.9,6.4,"Fulton"
"467","Myeloma",6.8,9.3,6.4,13.2,4,11.8,7.1,18.7,2.8,6.8,3.6,12,1.4,1.7,0.7,3.9,0.6,1.8,0.4,5.8,0.8,1.5,0.4,5,"Fulton"
"468","Leukemias",12.2,16.7,12.6,21.8,6.8,19.9,13.6,28.3,5.4,14.5,9.2,22,3.6,4.5,2.6,7.4,1.6,5,2.1,10.3,2,4.3,2,8.6,"Fulton"
"469","All Invasive Malignant Tumors",399.4,510.4,487.5,534.2,203.6,552.1,517.7,588.3,195.8,483.1,451.9,516,134.2,162.6,150.3,175.8,71.6,195.5,175.4,217.5,62.6,142,126.1,159.6,"Genesee"
"470","Oral cavity and pharynx",10.8,13.6,10.1,18,7.8,20.3,14.3,28.2,3,7.7,4.2,13.2,2.4,2.7,1.4,5,2,5.5,2.6,10.5,0.4,0.8,0.1,3.8,"Genesee"
"471","Esophagus",4.4,5.4,3.3,8.3,3.8,9.7,5.8,15.5,0.6,1.4,0.3,4.8,2.8,3.4,1.9,6,2.4,6.1,3.1,11.1,0.4,0.9,0.1,4.1,"Genesee"
"472","Stomach",3.8,5.1,3,8.2,1.8,4.5,2,9,2,5.7,2.6,11.1,1.4,1.7,0.7,3.7,1,2.6,0.8,6.5,0.4,1,0.1,4.1,"Genesee"
"473","Colorectal",27.6,35.8,29.9,42.7,16.2,45.4,35.8,56.9,11.4,27.9,20.8,36.9,9.4,11.6,8.4,15.7,6.2,18.1,12.2,25.9,3.2,7.6,4.1,13.1,"Genesee"
"474","Colon excluding rectum",19.6,25.2,20.3,31,11.4,33.1,24.9,43.3,8.2,18.7,13.3,26,7,8.7,6,12.3,4.6,13.2,8.3,20.2,2.4,5.6,2.7,10.5,"Genesee"
"475","Rectum & rectosigmoid",8,10.6,7.5,14.8,4.8,12.3,7.8,18.7,3.2,9.2,5,15.6,2.4,2.9,1.5,5.4,1.6,4.8,2.1,9.8,0.8,2,0.5,5.8,"Genesee"
"476","Liver / intrahepatic bile duct",4.2,4.9,3,7.7,3.2,7.8,4.4,13.2,1,2.1,0.7,5.6,3.2,3.6,2.1,6.1,2.4,5.8,3,10.6,0.8,1.6,0.4,4.9,"Genesee"
"477","Pancreas",11.2,14.2,10.6,18.7,5.4,14.7,9.6,21.8,5.8,14,9,21,10.6,12.4,9.2,16.4,5.2,14.2,9.2,21.1,5.4,11.2,7.3,16.9,"Genesee"
"478","Larynx",4,4.7,2.9,7.5,3.6,8.7,5.1,14.2,0.4,1,0.1,4.3,0.2,0.3,0,1.8,0.2,0.6,0,3.6,0,0,0,2.7,"Genesee"
"479","Lung and bronchus",60.4,73.6,65.4,82.7,29,77.2,64.9,91.4,31.4,73,61.8,85.9,40.6,49.2,42.5,56.7,22.2,59.4,48.7,72.1,18.4,42,33.6,52,"Genesee"
"480","Melanoma of the skin",22.8,29.7,24.3,36.1,13.4,37.2,28.5,47.9,9.4,23.6,16.9,32.2,1.8,2,0.9,4.1,1.6,3.7,1.6,7.8,0.2,0.5,0,3.4,"Genesee"
"481","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,56.8,140.1,123.7,158.3,NA,NA,NA,NA,NA,NA,NA,NA,8.2,19.3,13.6,26.9,"Genesee"
"482","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.8,1.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.4,0.3,4.8,"Genesee"
"483","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15,34.9,27.2,44.3,NA,NA,NA,NA,NA,NA,NA,NA,2.4,5.2,2.6,9.6,"Genesee"
"484","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.4,11.5,7,18,NA,NA,NA,NA,NA,NA,NA,NA,3.6,8.2,4.8,13.5,"Genesee"
"485","Prostate",NA,NA,NA,NA,45.8,113.7,99.2,130,NA,NA,NA,NA,NA,NA,NA,NA,7.6,21.8,15.4,30.2,NA,NA,NA,NA,"Genesee"
"486","Testis",NA,NA,NA,NA,1.8,6.6,3,12.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.7,NA,NA,NA,NA,"Genesee"
"487","Urinary bladder (incl. in situ)",22.2,28.2,23.1,34.2,17,47.5,37.8,59.2,5.2,11.3,7.3,17.1,5.6,6.3,4.2,9.3,3.4,10,5.8,16.3,2.2,4.6,2.2,8.8,"Genesee"
"488","Kidney and renal pelvis",15.6,19.6,15.3,24.8,9.6,26,19,35,6,15,9.9,22,3,3.6,2,6.1,2.2,6,3,11.1,0.8,1.8,0.5,5.2,"Genesee"
"489","Brain and other central nervous system",5,7,4.4,10.6,3.2,9.6,5.3,16.1,1.8,4.8,2.1,9.6,3.4,4.3,2.4,7.3,2,5.7,2.6,11,1.4,3.1,1.2,6.9,"Genesee"
"490","Thyroid",8.4,15.1,10.7,20.6,3,11.4,6.3,18.9,5.4,19.1,12.3,28.1,0.6,0.7,0.1,2.4,0.2,0.6,0,3.8,0.4,0.9,0.1,4.1,"Genesee"
"491","Hodgkin lymphoma",1.8,3,1.3,5.9,0.4,1.9,0.2,6.3,1.4,4.2,1.6,8.9,0.4,0.6,0.1,2.4,0.2,0.5,0,3.6,0.2,0.8,0,4.2,"Genesee"
"492","Non-Hodgkin lymphomas",15.2,19.8,15.5,25.1,8,22.8,16.1,31.6,7.2,17.1,11.7,24.3,3,3.9,2.1,6.7,1.6,5,2.1,10.1,1.4,3.2,1.3,7.2,"Genesee"
"493","Myeloma",6,8,5.3,11.7,2.4,7.1,3.6,12.8,3.6,9,5.2,14.7,3,3.6,2,6.2,1.2,3.6,1.3,8.1,1.8,3.8,1.7,7.9,"Genesee"
"494","Leukemias",14.6,19.4,15,24.8,8.8,24.3,17.4,33.1,5.8,15,9.8,22.2,6.2,7.7,5.2,11.2,3,8.2,4.5,13.8,3.2,7.4,4.1,12.7,"Genesee"
"495","All Invasive Malignant Tumors",360,511,486.5,536.6,191,538.7,503.9,575.6,169,491.5,456.4,528.8,126.8,173.3,159.6,188,71.8,203.4,182.4,226.5,55,145.9,128.2,165.7,"Greene"
"496","Oral cavity and pharynx",9.8,14.3,10.4,19.3,7.8,22.7,15.9,31.8,2,6,2.8,11.9,2,2.9,1.3,5.7,1.6,4.8,2,10.1,0.4,1.1,0.1,5.2,"Greene"
"497","Esophagus",4.2,5.8,3.5,9.2,3,8.2,4.4,14.4,1.2,3.3,1.2,8.2,2.4,3.2,1.6,6,1.8,5.1,2.3,10.4,0.6,1.2,0.3,5.2,"Greene"
"498","Stomach",4.6,6.5,4,10.1,2.6,8.5,4.5,15,2,4.8,2.3,9.9,2.4,3.1,1.6,5.8,2,5.6,2.7,11.1,0.4,0.8,0.1,4.7,"Greene"
"499","Colorectal",30.4,44.6,37.5,52.9,16,46.2,36.3,58.2,14.4,43.3,33.2,55.9,8.8,13.5,9.6,18.6,4.4,13.5,8.2,21.1,4.4,13.5,8.1,21.6,"Greene"
